ID,Agency Name,Required Report Name,Report Description,Frequency,Frequency Integer,Other Frequency Description,Start Date,End Date,Authorizing Resource (Charter and Code),Authorizing Resource (Local Law),Formatted Start Date,Formatted End Date
976,"Sustainability, Mayor's Office of (Sustainability)",Plan for Implementing Community Choice Aggregation Programs,,,,"If recommended, on or before December 31, 2021",,,,LL 182/2019,,
977,"Sustainability, Mayor's Office of (Sustainability)",Preliminary Report on Study on Feasibility of Implementing Community Choice Aggregation Programs,"Preliminary report of progress of study including analysis of potential economic and environmental impacts of implementing such program(s) in the city, including costs to individual consumers and a discussion of any potential fees related to the operation of such program would be required; 2. A discussion of any potential regulatory barriers to implementing such program(s) in the city; 3. Recommendation of any regulatory and consumer protections that should be implemented with such program(s); 4. An analysis of the tradeoffs of different partnership models; 5. An assessment of whether such program(s) should be implemented citywide, on a borough-wide basis, at a community district level or in environmental justice areas; 6. The costs and benefits of implementation of an opt-in program and an opt-out program, and a comparison of the two types of programs, and whether the potential geographic area of a program would affect such costs and benefits",Once,1,,March 1 2020,,,LL 182/2019,2020-03-01,
978,"Sustainability, Mayor's Office of (Sustainability)",Quarterly Equal Employment Opportunity and Diversity Plan Implementation,"A report on the agency's efforts during the previous quarter to implement the plan adopted pursuant to paragraph nineteen (annual plan) of Section 815(a),including details of agency's efforts to implement equal employment practices, including statistical information regarding total employment, including provisional, seasonal, per-diem and part-time employees, new hiring and promotions in a manner which facilitates understanding of an agency's efforts to provide fair and effective equal opportunity employment for minority group members, women and members of other groups who are employed by, or who seek employment with, city agencies",Every X months,3,,January 1 2020,,"New York City Charter Chapter 35, Section 815(i) ","LL 102/1977, LL 59/1996, LL 12/2019",2020-01-01,
979,"Sustainability, Mayor's Office of (Sustainability)",Reduction of Greenhouse Gas Emission,"A measure of the reduction in Carbon Dioxide Emission, year over year compared to a base year and pursuant of the goal of a citywide reduction of thirty percent by the year 2030",Every X years,1,,September 17 2020,,"New York City Administrative Code  Title 24, Section 805",LL 22/2008,2020-09-17,
980,"Sustainability, Mayor's Office of (Sustainability)",Report on Agency Policies on Identifying Information,"Report regarding the collection, retention, and disclosure of identifying information by such agency and any contractors or subcontractors utilized by such agency",Every X years,2,,July 31 2020,,"New York City Administrative Code Title 23, Section 1205",LL 245/2017,2020-07-31,
981,"Citywide Administrative Services, Department of (DCAS)",Report on Benchmarking Energy and Water Use and Disclosure of Energy Efficiency Scores and Grades,"A report reviewing and evaluating the administration and enforcement of this article and analyzing data obtained from the benchmarking tool. Such report shall contain information regarding: (i) the energy and water efficiency of buildings in the city, (ii) the accuracy of benchmarked data and whether there is a need to train and/or certify individuals who benchmark, (iii) compliance with the requirements of this article, (iv) any administrative and legislative recommendations for strengthening the administration and enforcement of this article, (v) the effectiveness of the benchmarking tool in accounting for New York city conditions, including, but not limited to, high density occupancies, use of steam, large building size, and specific high-energy uses such as data centers, television studios, and trading floors, and (vi) such other information and analyses as the office of long-term planning and sustainability deems appropriate.",Every X years,1,,December 31 2020,,"New York City Administrative Code Title 28, Section 309.9",LL 133/2016,2020-12-31,
982,"Sustainability, Mayor's Office of (Sustainability)",Report on Energy Asset Score,"A report on the value of the energy asset score in predicting energy performance for buildings, including recommendations as to whether and in what form and manner such scores should be disclosed",Once,1,,December 31 2021,,,LL 33/2018,2021-12-31,
983,"Sustainability, Mayor's Office of (Sustainability)",Report on Open Data Compliance,"Report on which public data set or sets that it is unable to make available, the reasons why it cannot do so and the date by which the agency expects that such public data set or sets will be available on the single web portal",,,"Annually, direct to Mayor's Office for Open Data",,,"New York City Administrative Code Title 23, Section 502(a)",LL 11/2012,,
984,"Sustainability, Mayor's Office of (Sustainability)",Report on Progress in Implementing the Environmental Justice Plan. With Interagency Working Group,,Every X years,1,,June 30 2022,,"New York City  Administrative Code Title 3, Section 100(b)(4)",LL 64/2017,2022-06-30,
985,"Sustainability, Mayor's Office of (Sustainability)",Report on the City's Long-Term Planning and Sustainability Efforts,"Annual Progress Report on the City's Long-Term Planning and Sustainability Efforts, PlaNYC/OneNYC. The report shall include, at a minimum the city's progress made to implement or undertake policies, programs and actions included in the sustainability plan or updated sustainability plan. It will also include any revisions to policies, programs or actions in the previous long-term sustainability plan, including the reason for such revision.",Every X years,1,,April 22 2020,,"New York City Charter, Chapter 1, Section 20(f)",LL 17/2008,2020-04-22,
